date,name,sample_size
2021-06-09,pct_covid_unw,352
2021-06-10,pct_covid_unw,396
2021-06-11,pct_covid_unw,375
2021-06-12,pct_covid_unw,372
2021-06-13,pct_covid_unw,418
2021-06-14,pct_covid_unw,411
2021-06-15,pct_covid_unw,391
2021-06-16,pct_covid_unw,352
2021-06-17,pct_covid_unw,328
2021-06-18,pct_covid_unw,271
2021-06-19,pct_covid_unw,279
2021-06-20,pct_covid_unw,322
2021-06-21,pct_covid_unw,289
2021-06-22,pct_covid_unw,298
2021-06-23,pct_covid_unw,284
2021-06-24,pct_covid_unw,237
2021-06-25,pct_covid_unw,233
2021-06-26,pct_covid_unw,285
2021-06-27,pct_covid_unw,405
2021-06-28,pct_covid_unw,429
2021-06-29,pct_covid_unw,477
2021-06-30,pct_covid_unw,430
2021-07-01,pct_covid_unw,464
2021-07-02,pct_covid_unw,451
2021-07-03,pct_covid_unw,439
2021-07-04,pct_covid_unw,468
2021-07-05,pct_covid_unw,458
2021-07-06,pct_covid_unw,465
2021-07-07,pct_covid_unw,476
2021-07-08,pct_covid_unw,487
2021-07-09,pct_covid_unw,432
2021-07-10,pct_covid_unw,433
2021-07-11,pct_covid_unw,495
2021-07-12,pct_covid_unw,484
2021-07-13,pct_covid_unw,445
2021-07-14,pct_covid_unw,474
2021-07-15,pct_covid_unw,440
2021-07-16,pct_covid_unw,435
2021-07-17,pct_covid_unw,465
2021-07-18,pct_covid_unw,431
2021-07-19,pct_covid_unw,477
2021-07-20,pct_covid_unw,503
2021-07-21,pct_covid_unw,519
2021-07-22,pct_covid_unw,485
2021-07-23,pct_covid_unw,505
2021-07-24,pct_covid_unw,492
2021-07-25,pct_covid_unw,484
2021-07-26,pct_covid_unw,515
2021-07-27,pct_covid_unw,532
2021-07-28,pct_covid_unw,549
2021-07-29,pct_covid_unw,576
2021-07-30,pct_covid_unw,442
2021-07-31,pct_covid_unw,484
2021-08-01,pct_covid_unw,499
2021-08-02,pct_covid_unw,534
2021-08-03,pct_covid_unw,535
2021-08-04,pct_covid_unw,514
2021-08-05,pct_covid_unw,521
2021-08-06,pct_covid_unw,471
2021-08-07,pct_covid_unw,474
2021-08-08,pct_covid_unw,553
2021-08-09,pct_covid_unw,533
2021-08-10,pct_covid_unw,542
2021-08-11,pct_covid_unw,518
2021-08-12,pct_covid_unw,531
2021-08-13,pct_covid_unw,473
2021-08-14,pct_covid_unw,543
2021-08-15,pct_covid_unw,503
2021-08-16,pct_covid_unw,478
2021-08-17,pct_covid_unw,506
2021-08-18,pct_covid_unw,459
2021-08-19,pct_covid_unw,540
2021-08-20,pct_covid_unw,529
2021-08-21,pct_covid_unw,496
2021-08-22,pct_covid_unw,498
2021-08-23,pct_covid_unw,501
2021-08-24,pct_covid_unw,489
2021-08-25,pct_covid_unw,499
2021-08-26,pct_covid_unw,519
2021-08-27,pct_covid_unw,464
2021-08-28,pct_covid_unw,433
2021-08-29,pct_covid_unw,424
2021-08-30,pct_covid_unw,454
2021-08-31,pct_covid_unw,497
2021-09-01,pct_covid_unw,442
2021-09-02,pct_covid_unw,467
2021-09-03,pct_covid_unw,393
2021-09-04,pct_covid_unw,421
2021-09-05,pct_covid_unw,435
2021-09-06,pct_covid_unw,448
2021-09-07,pct_covid_unw,482
2021-09-08,pct_covid_unw,447
2021-09-09,pct_covid_unw,449
2021-09-10,pct_covid_unw,408
2021-09-11,pct_covid_unw,404
2021-09-12,pct_covid_unw,442
2021-09-13,pct_covid_unw,450
2021-09-14,pct_covid_unw,384
2021-09-15,pct_covid_unw,394
2021-09-16,pct_covid_unw,370
2021-09-17,pct_covid_unw,387
2021-09-18,pct_covid_unw,380
2021-09-19,pct_covid_unw,400
2021-09-20,pct_covid_unw,430
2021-09-21,pct_covid_unw,419
2021-09-22,pct_covid_unw,381
2021-09-23,pct_covid_unw,413
2021-09-24,pct_covid_unw,383
2021-09-25,pct_covid_unw,360
2021-09-26,pct_covid_unw,394
